metrics,2021A,2022A,2023A,2024A,2025A,2025E,2026E,2027E,CAGR
Revenue,365817000000.0,394328000000.0,383285000000.0,391035000000.0,416161000000.0,436969050000.0,463187193000.0,481714680720.0,3.3%
Cost of Operations,212981000000.0,223546000000.0,214137000000.0,210352000000.0,220960000000.0,227660875050.0,236688655623.0,241339055040.72,N/A
SG&A,21973000000.0,25094000000.0,24932000000.0,26097000000.0,27601000000.0,26655112050.0,25938482808.0,24567448716.72,N/A
Contribution Profit,152836000000.0,170782000000.0,169148000000.0,180683000000.0,195201000000.0,209308174950.0,226498537377.0,240375625679.28,N/A
Contribution Margin,41.8%,43.3%,44.1%,46.2%,46.9%,47.9%,48.9%,49.9%,N/A
EBITDA,123136000000.0,133138000000.0,129188000000.0,134930000000.0,144427000000.0,182653062900.0,200560054569.0,215808176962.56,N/A
EBITDA Margin,33.7%,33.8%,33.7%,34.5%,34.7%,41.8%,43.3%,44.8%,N/A
SG&A Margin,6.0%,6.4%,6.5%,6.7%,6.6%,6.1%,5.6%,5.1%,N/A
Revenue Growth,N/A,7.8%,-2.8%,2.0%,6.4%,5.0%,6.0%,4.0%,N/A
EPS,5.67,6.15,6.16,6.11,7.49,7.94,8.5,8.93,N/A
PE Ratio,,,,,,,,,N/A
